Typ,Maksimum (UTC),Magnituda,Obscuration (%),Wysokość (°),Azymut (°),Początek (UTC),Koniec (UTC)
SŁOŃCE,2006-03-29 10:51:06,0.473,36.6,41.7,175.8,09:51:20,11:50:52
KSIĘŻYC,2006-03-14 23:47:25,0.0,0.0,40.2,192.5,21:27:38,02:07:11
SŁOŃCE,2005-10-03 09:16:10,0.498,38.3,31.0,153.1,08:04:28,10:27:53
KSIĘŻYC,2004-10-28 03:03:23,1.283,128.3,24.9,258.9,00:11:40,05:59:06
KSIĘŻYC,2004-05-04 20:29:27,1.279,127.9,13.9,144.0,18:17:40,23:05:12
KSIĘŻYC,2003-11-09 01:17:22,0.992,99.2,42.7,235.3,22:21:38,04:17:04
SŁOŃCE,2003-05-31 03:24:06,0.852,79.0,4.0,58.9,02:48:15,04:23:52
KSIĘŻYC,2003-05-16 03:12:00,0.952,95.2,-0.1,238.8,01:12:11,03:12:00
KSIĘŻYC,2002-11-20 01:45:39,0.0,0.0,41.1,244.0,23:37:51,03:53:27
KSIĘŻYC,2002-06-24 21:26:23,0.0,0.0,10.0,158.3,20:30:28,22:26:17
KSIĘŻYC,2001-01-09 20:20:25,1.164,116.4,46.1,116.6,17:48:39,22:52:10
KSIĘŻYC,2000-01-21 04:44:26,1.3,130.0,18.3,277.8,02:08:41,07:00:13
